word,openmoji_url,match_type,annotation
Sun,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2600.svg,openmoji|score100,sun
Supermarket,,none,
Swan,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9A2.svg,openmoji|score100,swan
Sweet Potato,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F954.svg,openmoji|score90,potato
Tacos,,none,
Tailor,,none,
Tangerine,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F34A.svg,openmoji|score100,tangerine
Taxi,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F695.svg,openmoji|score100,taxi
Teacher,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-1F3EB.svg,openmoji|score100,teacher
Teal,,none,
Thanksgiving,,none,
Through,,none,
Thumb,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAF0.svg,openmoji|score80,hand with index finger and thumb crossed
Thunder,,none,
Tiger,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F405.svg,openmoji|score100,tiger
Toast,,none,
Toe,,none,
Tomato,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F345.svg,openmoji|score100,tomato
Tongue,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F445.svg,openmoji|score100,tongue
Tooth,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9B7.svg,openmoji|score100,tooth
Top,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F419.svg,openmoji|score80,octopus
Toy Store,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F3EA.svg,openmoji|score60,convenience store
Tractor,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F69C.svg,openmoji|score100,tractor
Train,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F686.svg,openmoji|score100,train
Tram,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F68A.svg,openmoji|score100,tram
Tree,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F332.svg,openmoji|score80,evergreen tree
